Stock_Code,Stock_Name,Weight,Shares,ETF,Holding_Source
2454,聯發科,3.13,445000,00988A,official
PANW US,PALO ALTO NETWORKS INC,3.08,150000,00988A,official
TSEM US,TOWER SEMICONDUCTOR LTD,3.08,216825,00988A,official
6223,旺矽,2.61,242000,00988A,official
STX US,SEAGATE TECHNOLOGY,2.6,50000,00988A,official
2330,台積電,2.6,650000,00988A,official
BE US,BLOOM ENERGY CORP- A,2.58,210000,00988A,official
MRVL US,MARVELL TECHNOLOGY INC,2.44,205000,00988A,official
SNOW US,SNOWFLAKE INC-CLASS A(Snowflake公司),2.29,130000,00988A,official
WDC US,WESTERN DIGITAL CORP,2.18,80000,00988A,official
6871 JP,MICRONICS JAPAN CO LTD,1.87,370000,00988A,official
SNDK US,SANDISK CORP,1.84,21000,00988A,official
2308,台達電,1.83,580000,00988A,official
NOW US,SERVICENOW INC,1.79,270000,00988A,official
300408 CH,CHAOZHOU THREE-CIRCLE GROU-A,1.79,1749879,00988A,official
PLTR US,PALANTIR TECHNOLOGIES INC-A,1.68,180000,00988A,official
6976 JP,TAIYO YUDEN CO LTD,1.67,450000,00988A,official
COHR US,COHERENT INC,1.66,95000,00988A,official
IFX GY,INFINEON TECHNOLOGIES AG,1.62,425000,00988A,official
2327,國巨*,1.61,1550000,00988A,official
3711,日月光投控,1.39,1350000,00988A,official
6997 JP,NIPPON CHEMI-CON CORP,1.36,1275100,00988A,official
MPWR US,MONOLITHIC POWER SYSTEMS INC,1.35,18000,00988A,official
AMAT US,APPLIED MATERIALS INC,1.3,48000,00988A,official
LMT US,LOCKHEED MARTIN CORP,1.24,38000,00988A,official
TER US,TERADYNE INC,1.23,55000,00988A,official
SPCX US,SPACE EXPLORATION TECHN-CL A,1.2,160000,00988A,official
3017,奇鋐,1.16,215000,00988A,official
FORM US,FORMFACTOR INC,1.06,150454,00988A,official
301377 CH,GUANGDONG DTECH TECHNOLOGY-A,1.04,291988,00988A,official
6787 JP,MEIKO ELECTRONICS CO LTD,0.98,160000,00988A,official
3308 HK,ZHONGJI INNOLIGHT CO LTD-H,0.88,110000,00988A,official
NET US,CLOUDFLARE INC - CLASS A,0.76,45000,00988A,official
TWLO US,TWILIO INC - A,0.7,55000,00988A,official
AIXA GY,AIXTRON SE,0.51,200000,00988A,official
AEHR US,AEHR TEST SYSTEMS,0.5,70000,00988A,official
4979,華星光,0.39,450000,00988A,official
LITE US,LUMENTUM HOLDINGS INC,7.33,101272,00990A,official
MU US,MICRON TECHNOLOGY INC,5.62,74045,00990A,official
285A JP,KIOXIA HOLDINGS CORP,3.88,147200,00990A,official
009150 KP,SAMSUNG ELECTRO-MECHANICS CO,3.62,42083,00990A,official
SNDK US,SANDISK CORP,3.26,25383,00990A,official
6981 JP,MURATA MANUFACTURING CO LTD,3.23,798800,00990A,official
COHR US,COHERENT CORP,2.9,113979,00990A,official
DELL US,DELL TECHNOLOGIES -C,2.89,75300,00990A,official
3037,欣興,2.85,1146000,00990A,official
CRDO US,CREDO TECHNOLOGY GROUP HOLDI,2.8,138000,00990A,official
MRVL US,MARVELL TECHNOLOGY INC,2.77,159600,00990A,official
2383,台光電,2.72,181000,00990A,official
BE US,BLOOM ENERGY CORP- A,2.6,144800,00990A,official
2454,聯發科,2.52,245000,00990A,official
AMD US,ADVANCED MICRO DEVICES,2.41,60079,00990A,official
TSEM US,TOWER SEMICONDUCTOR LTD,2.4,115500,00990A,official
2330,台積電,2.37,406000,00990A,official
2308,台達電,2.03,441000,00990A,official
SHOP US,SHOPIFY INC - CLASS A,2.03,168500,00990A,official
SNOW US,SNOWFLAKE INC,2.03,78900,00990A,official
WDC US,WESTERN DIGITAL CORP,1.96,49262,00990A,official
AMAT US,APPLIED MATERIALS INC,1.87,47106,00990A,official
